Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
t6,8-1,1,"['', 'Damon', '']",6(3-2) BBBCSB,,BOS,M. Bellhorn,K. Gregg,0%,99%,Walk
t6,8-1,1,"['Bellhorn', 'Damon', '']",2(1-0) BX,O,BOS,M. Ramirez,K. Gregg,-0%,98%,Foul Popfly: 1B (1B Foul)
t6,8-1,2,"['Bellhorn', 'Damon', '']",5(3-1) BCBBX,O,BOS,D. Ortiz,K. Gregg,-0%,98%,Flyball: LF
,,,,,,,,,0 runs 1 hit 0 errors 2 LOB. Red Sox 8 Angels 1.,0 runs 1 hit 0 errors 2 LOB. Red Sox 8 Angels 1.,0 runs 1 hit 0 errors 2 LOB. Red Sox 8 Angels 1.
Bottom of the 6th Angels Batting Behind 1-8 Red Sox' Curt Schilling facing 4-5-6,Bottom of the 6th Angels Batting Behind 1-8 Red Sox' Curt Schilling facing 4-5-6,Bottom of the 6th Angels Batting Behind 1-8 Red Sox' Curt Schilling facing 4-5-6,,Bottom of the 6th Angels Batting Behind 1-8 Red Sox' Curt Schilling facing 4-5-6,Bottom of the 6th Angels Batting Behind 1-8 Red Sox' Curt Schilling facing 4-5-6,Bottom of the 6th Angels Batting Behind 1-8 Red Sox' Curt Schilling facing 4-5-6,Bottom of the 6th Angels Batting Behind 1-8 Red Sox' Curt Schilling facing 4-5-6,Bottom of the 6th Angels Batting Behind 1-8 Red Sox' Curt Schilling facing 4-5-6,Bottom of the 6th Angels Batting Behind 1-8 Red Sox' Curt Schilling facing 4-5-6,Bottom of the 6th Angels Batting Behind 1-8 Red Sox' Curt Schilling facing 4-5-6,Bottom of the 6th Angels Batting Behind 1-8 Red Sox' Curt Schilling facing 4-5-6
b6,1-8,0,"['', '', '']",3(1-1) BCX,O,ANA,G. Anderson,C. Schilling,1%,99%,Groundout: 1B-P
b6,1-8,1,"['', '', '']",8(3-2) CFBFBBFB,,ANA,T. Glaus,C. Schilling,-1%,98%,Walk
b6,1-8,1,"['Glaus', '', '']",1(0-0) X,O,ANA,J. DaVanon,C. Schilling,1%,99%,Groundout: 1B-SS/Forceout at 2B
b6,1-8,2,"['DaVanon', '', '']",2(0-1) FX,,ANA,B. Molina,C. Schilling,-0%,98%,Single to RF (Line Drive); DaVanon to 2B
b6,1-8,2,"['Molina', 'DaVanon', '']",4(1-2) BFFX,,ANA,D. Eckstein,C. Schilling,-1%,97%,Single to RF (Line Drive); DaVanon to 3B; Molina to 2B
b6,1-8,2,"['Eckstein', 'Molina', 'DaVanon']",1(0-0) X,O,ANA,D. McPherson,C. Schilling,2%,99%,Groundout: 2B-1B
,,,,,,,,,0 runs 2 hits 0 errors 3 LOB. Red Sox 8 Angels 1.,0 runs 2 hits 0 errors 3 LOB. Red Sox 8 Angels 1.,0 runs 2 hits 0 errors 3 LOB. Red Sox 8 Angels 1.
Top of the 7th Red Sox Batting Ahead 8-1 Angels' Kevin Gregg facing 5-6-7,Top of the 7th Red Sox Batting Ahead 8-1 Angels' Kevin Gregg facing 5-6-7,Top of the 7th Red Sox Batting Ahead 8-1 Angels' Kevin Gregg facing 5-6-7,,Top of the 7th Red Sox Batting Ahead 8-1 Angels' Kevin Gregg facing 5-6-7,Top of the 7th Red Sox Batting Ahead 8-1 Angels' Kevin Gregg facing 5-6-7,Top of the 7th Red Sox Batting Ahead 8-1 Angels' Kevin Gregg facing 5-6-7,Top of the 7th Red Sox Batting Ahead 8-1 Angels' Kevin Gregg facing 5-6-7,Top of the 7th Red Sox Batting Ahead 8-1 Angels' Kevin Gregg facing 5-6-7,Top of the 7th Red Sox Batting Ahead 8-1 Angels' Kevin Gregg facing 5-6-7,Top of the 7th Red Sox Batting Ahead 8-1 Angels' Kevin Gregg facing 5-6-7,Top of the 7th Red Sox Batting Ahead 8-1 Angels' Kevin Gregg facing 5-6-7
t7,8-1,0,"['', '', '']",6(3-2) BFBCBX,,BOS,K. Millar,K. Gregg,0%,99%,Single to LF (Line Drive)
,,,,,,,,,Doug Mientkiewicz pinch runs for Kevin Millar (1B) batting 5th,Doug Mientkiewicz pinch runs for Kevin Millar (1B) batting 5th,Doug Mientkiewicz pinch runs for Kevin Millar (1B) batting 5th
t7,8-1,0,"['Mientkiewicz', '', '']",3(1-1) .CBX,O,BOS,J. Varitek,K. Gregg,-0%,99%,Flyball: CF
t7,8-1,1,"['Mientkiewicz', '', '']",1(0-0) X,,BOS,O. Cabrera,K. Gregg,0%,99%,Single to CF (Ground Ball); Mientkiewicz to 2B
t7,8-1,1,"['Cabrera', 'Mientkiewicz', '']",6(3-2) BBCCBX,O,BOS,B. Mueller,K. Gregg,-0%,99%,Flyball: CF
t7,8-1,2,"['Cabrera', 'Mientkiewicz', '']",3(0-2) FFB,,BOS,G. Kapler,K. Gregg,0%,99%,Wild Pitch; Mientkiewicz to 3B
t7,8-1,2,"['Cabrera', '', 'Mientkiewicz']",4(1-2) FFB.X,O,BOS,G. Kapler,K. Gregg,-0%,99%,Groundout: 3B-1B
,,,,,,,,,0 runs 2 hits 0 errors 2 LOB. Red Sox 8 Angels 1.,0 runs 2 hits 0 errors 2 LOB. Red Sox 8 Angels 1.,0 runs 2 hits 0 errors 2 LOB. Red Sox 8 Angels 1.
Bottom of the 7th Angels Batting Behind 1-8 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 7th Angels Batting Behind 1-8 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 7th Angels Batting Behind 1-8 Red Sox' Curt Schilling facing 1-2-3,,Bottom of the 7th Angels Batting Behind 1-8 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 7th Angels Batting Behind 1-8 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 7th Angels Batting Behind 1-8 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 7th Angels Batting Behind 1-8 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 7th Angels Batting Behind 1-8 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 7th Angels Batting Behind 1-8 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 7th Angels Batting Behind 1-8 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 7th Angels Batting Behind 1-8 Red Sox' Curt Schilling facing 1-2-3
