Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
,,,,,,,,,,,
Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3
b6,4-0,2,"['', '', '']",7(3-2) BBBFSFB,,LAD,M. Bradley,M. Morris,0%,95%,Walk
b6,4-0,2,"['Bradley', '', '']",3(0-2) CC1>X,,LAD,A. Cora,M. Morris,1%,95%,Single to CF (Line Drive); Bradley to 3B
b6,4-0,2,"['Cora', '', 'Bradley']",4(3-0) IIII,,LAD,B. Mayne,M. Morris,0%,96%,Intentional Walk; Cora to 2B
b6,4-0,2,"['Mayne', 'Cora', 'Bradley']",4(1-2) CBCS,O,LAD,J. Lima,M. Morris,-1%,94%,Strikeout Swinging
,,,,,,,,,1 run 2 hits 0 errors 3 LOB. Cardinals 0 Dodgers 4.,1 run 2 hits 0 errors 3 LOB. Cardinals 0 Dodgers 4.,1 run 2 hits 0 errors 3 LOB. Cardinals 0 Dodgers 4.
Top of the 7th Cardinals Batting Behind 0-4 Dodgers' Jose Lima facing 4-5-6,Top of the 7th Cardinals Batting Behind 0-4 Dodgers' Jose Lima facing 4-5-6,Top of the 7th Cardinals Batting Behind 0-4 Dodgers' Jose Lima facing 4-5-6,,Top of the 7th Cardinals Batting Behind 0-4 Dodgers' Jose Lima facing 4-5-6,Top of the 7th Cardinals Batting Behind 0-4 Dodgers' Jose Lima facing 4-5-6,Top of the 7th Cardinals Batting Behind 0-4 Dodgers' Jose Lima facing 4-5-6,Top of the 7th Cardinals Batting Behind 0-4 Dodgers' Jose Lima facing 4-5-6,Top of the 7th Cardinals Batting Behind 0-4 Dodgers' Jose Lima facing 4-5-6,Top of the 7th Cardinals Batting Behind 0-4 Dodgers' Jose Lima facing 4-5-6,Top of the 7th Cardinals Batting Behind 0-4 Dodgers' Jose Lima facing 4-5-6,Top of the 7th Cardinals Batting Behind 0-4 Dodgers' Jose Lima facing 4-5-6
t7,0-4,0,"['', '', '']",1(0-0) X,O,STL,S. Rolen,J. Lima,1%,96%,Groundout: 3B-1B
t7,0-4,1,"['', '', '']",3(0-2) CCS,O,STL,J. Edmonds,J. Lima,1%,97%,Strikeout Swinging
t7,0-4,2,"['', '', '']",7(3-2) BCBBCFB,,STL,E. Renteria,J. Lima,-1%,96%,Walk
t7,0-4,2,"['Renteria', '', '']",1(0-0) X,O,STL,R. Sanders,J. Lima,1%,97%,Flyball: CF
,,,,,,,,,0 runs 0 hits 0 errors 1 LOB. Cardinals 0 Dodgers 4.,0 runs 0 hits 0 errors 1 LOB. Cardinals 0 Dodgers 4.,0 runs 0 hits 0 errors 1 LOB. Cardinals 0 Dodgers 4.
