Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 7th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 4-5-6,Top of the 7th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 4-5-6,Top of the 7th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 4-5-6,Top of the 7th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 4-5-6,Top of the 7th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 4-5-6,Top of the 7th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 4-5-6,Top of the 7th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 4-5-6,Top of the 7th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 4-5-6,Top of the 7th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 4-5-6,Top of the 7th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 4-5-6,Top of the 7th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 4-5-6,Top of the 7th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 4-5-6
t7,1-2,0,---,,O,CHC,D. Paskert,C. Mays,4%,77%,Groundout: P-1B
t7,1-2,1,---,,O,CHC,F. Merkle,C. Mays,3%,79%,Groundout: 3B-1B
t7,1-2,2,---,,O,CHC,C. Pick,C. Mays,2%,81%,Groundout: P-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Cubs 1 Red Sox 2.,0 runs 0 hits 0 errors 0 LOB. Cubs 1 Red Sox 2.,0 runs 0 hits 0 errors 0 LOB. Cubs 1 Red Sox 2.
Bottom of the 7th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 1-2-3,Bottom of the 7th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 1-2-3,Bottom of the 7th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 1-2-3,Bottom of the 7th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 1-2-3,Bottom of the 7th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 1-2-3,Bottom of the 7th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 1-2-3,Bottom of the 7th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 1-2-3,Bottom of the 7th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 1-2-3,Bottom of the 7th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 1-2-3,Bottom of the 7th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 1-2-3,Bottom of the 7th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 1-2-3,Bottom of the 7th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 1-2-3
b7,2-1,0,---,,O,BOS,H. Hooper,L. Tyler,-1%,80%,Groundout: 1B unassisted
b7,2-1,1,---,,O,BOS,D. Shean,L. Tyler,-1%,79%,Groundout: 3B-1B
b7,2-1,2,---,,,BOS,A. Strunk,L. Tyler,1%,80%,Single to CF
b7,2-1,2,1--,,O,BOS,G. Whiteman,L. Tyler,-2%,78%,Flyball: CF
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Cubs 1 Red Sox 2.,0 runs 1 hit 0 errors 1 LOB. Cubs 1 Red Sox 2.,0 runs 1 hit 0 errors 1 LOB. Cubs 1 Red Sox 2.
Top of the 8th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 7-8-9,Top of the 8th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 7-8-9,Top of the 8th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 7-8-9,Top of the 8th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 7-8-9,Top of the 8th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 7-8-9,Top of the 8th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 7-8-9,Top of the 8th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 7-8-9,Top of the 8th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 7-8-9,Top of the 8th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 7-8-9,Top of the 8th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 7-8-9,Top of the 8th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 7-8-9,Top of the 8th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 7-8-9
,,,,,,,,,Turner Barber pinch hits for Charlie Deal (3B) batting 7th,Turner Barber pinch hits for Charlie Deal (3B) batting 7th,Turner Barber pinch hits for Charlie Deal (3B) batting 7th
t8,1-2,0,---,,O,CHC,T. Barber,C. Mays,5%,83%,Lineout: LF
,,,,,,,,,Bob O'Farrell pinch hits for Bill Killefer (C) batting 8th,Bob O'Farrell pinch hits for Bill Killefer (C) batting 8th,Bob O'Farrell pinch hits for Bill Killefer (C) batting 8th
t8,1-2,1,---,,O,CHC,B. O'Farrell,C. Mays,3%,86%,Popfly: SS
