Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
,,,,,,,,,0 runs 0 hits 0 errors 1 LOB. Royals 3 Yankees 4.,0 runs 0 hits 0 errors 1 LOB. Royals 3 Yankees 4.,0 runs 0 hits 0 errors 1 LOB. Royals 3 Yankees 4.
Top of the 8th Royals Batting Behind 3-4 Yankees' Dale Murray facing 6-7-8,Top of the 8th Royals Batting Behind 3-4 Yankees' Dale Murray facing 6-7-8,Top of the 8th Royals Batting Behind 3-4 Yankees' Dale Murray facing 6-7-8,Top of the 8th Royals Batting Behind 3-4 Yankees' Dale Murray facing 6-7-8,Top of the 8th Royals Batting Behind 3-4 Yankees' Dale Murray facing 6-7-8,Top of the 8th Royals Batting Behind 3-4 Yankees' Dale Murray facing 6-7-8,Top of the 8th Royals Batting Behind 3-4 Yankees' Dale Murray facing 6-7-8,Top of the 8th Royals Batting Behind 3-4 Yankees' Dale Murray facing 6-7-8,Top of the 8th Royals Batting Behind 3-4 Yankees' Dale Murray facing 6-7-8,Top of the 8th Royals Batting Behind 3-4 Yankees' Dale Murray facing 6-7-8,Top of the 8th Royals Batting Behind 3-4 Yankees' Dale Murray facing 6-7-8,Top of the 8th Royals Batting Behind 3-4 Yankees' Dale Murray facing 6-7-8
,,,,,,,,,Don Mattingly moves from PH to 1B,Don Mattingly moves from PH to 1B,Don Mattingly moves from PH to 1B
t8,3-4,0,---,,O,KCR,J. Wathan,D. Murray,-5%,19%,Flyball: 2B
,,,,,,,,,Willie Aikens pinch hits for Leon Roberts (LF) batting 7th,Willie Aikens pinch hits for Leon Roberts (LF) batting 7th,Willie Aikens pinch hits for Leon Roberts (LF) batting 7th
t8,3-4,1,---,,O,KCR,W. Aikens,D. Murray,-4%,15%,Flyball: LF
t8,3-4,2,---,,O,KCR,F. White,D. Murray,-3%,13%,Groundout: P-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Royals 3 Yankees 4.,0 runs 0 hits 0 errors 0 LOB. Royals 3 Yankees 4.,0 runs 0 hits 0 errors 0 LOB. Royals 3 Yankees 4.
Bottom of the 8th Yankees Batting Ahead 4-3 Royals' Mike Armstrong facing 2-3-4,Bottom of the 8th Yankees Batting Ahead 4-3 Royals' Mike Armstrong facing 2-3-4,Bottom of the 8th Yankees Batting Ahead 4-3 Royals' Mike Armstrong facing 2-3-4,Bottom of the 8th Yankees Batting Ahead 4-3 Royals' Mike Armstrong facing 2-3-4,Bottom of the 8th Yankees Batting Ahead 4-3 Royals' Mike Armstrong facing 2-3-4,Bottom of the 8th Yankees Batting Ahead 4-3 Royals' Mike Armstrong facing 2-3-4,Bottom of the 8th Yankees Batting Ahead 4-3 Royals' Mike Armstrong facing 2-3-4,Bottom of the 8th Yankees Batting Ahead 4-3 Royals' Mike Armstrong facing 2-3-4,Bottom of the 8th Yankees Batting Ahead 4-3 Royals' Mike Armstrong facing 2-3-4,Bottom of the 8th Yankees Batting Ahead 4-3 Royals' Mike Armstrong facing 2-3-4,Bottom of the 8th Yankees Batting Ahead 4-3 Royals' Mike Armstrong facing 2-3-4,Bottom of the 8th Yankees Batting Ahead 4-3 Royals' Mike Armstrong facing 2-3-4
,,,,,,,,,Willie Aikens moves from PH to 1BJohn Wathan moves from 1B to LF,Willie Aikens moves from PH to 1BJohn Wathan moves from 1B to LF,Willie Aikens moves from PH to 1BJohn Wathan moves from 1B to LF
b8,4-3,0,---,,,NYY,G. Nettles,M. Armstrong,-2%,11%,Walk
