Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 8th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 7-8-9,Top of the 8th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 7-8-9,Top of the 8th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 7-8-9,Top of the 8th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 7-8-9,Top of the 8th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 7-8-9,Top of the 8th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 7-8-9,Top of the 8th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 7-8-9,Top of the 8th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 7-8-9,Top of the 8th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 7-8-9,Top of the 8th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 7-8-9,Top of the 8th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 7-8-9,Top of the 8th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 7-8-9
t8,0-0,0,---,,O,PIT,D. Hoak,L. Burdette,4%,54%,Strikeout Looking
t8,0-0,1,---,,O,PIT,R. Mejias,L. Burdette,3%,58%,Groundout: 3B-1B
t8,0-0,2,---,,O,PIT,H. Haddix,L. Burdette,2%,60%,Groundout: SS-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Pirates 0 Braves 0.,0 runs 0 hits 0 errors 0 LOB. Pirates 0 Braves 0.,0 runs 0 hits 0 errors 0 LOB. Pirates 0 Braves 0.
Bottom of the 8th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 4-5-6,Bottom of the 8th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 4-5-6,Bottom of the 8th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 4-5-6,Bottom of the 8th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 4-5-6,Bottom of the 8th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 4-5-6,Bottom of the 8th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 4-5-6,Bottom of the 8th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 4-5-6,Bottom of the 8th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 4-5-6,Bottom of the 8th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 4-5-6,Bottom of the 8th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 4-5-6,Bottom of the 8th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 4-5-6,Bottom of the 8th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 4-5-6
b8,0-0,0,---,,O,MLN,J. Adcock,H. Haddix,-4%,56%,Strikeout
b8,0-0,1,---,,O,MLN,W. Covington,H. Haddix,-3%,52%,Flyball: LF
b8,0-0,2,---,,O,MLN,D. Crandall,H. Haddix,-2%,50%,Groundout: 3B-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Pirates 0 Braves 0.,0 runs 0 hits 0 errors 0 LOB. Pirates 0 Braves 0.,0 runs 0 hits 0 errors 0 LOB. Pirates 0 Braves 0.
Top of the 9th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 1-2-3,Top of the 9th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 1-2-3,Top of the 9th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 1-2-3,Top of the 9th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 1-2-3,Top of the 9th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 1-2-3,Top of the 9th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 1-2-3,Top of the 9th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 1-2-3,Top of the 9th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 1-2-3,Top of the 9th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 1-2-3,Top of the 9th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 1-2-3,Top of the 9th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 1-2-3,Top of the 9th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 1-2-3
t9,0-0,0,---,,O,PIT,D. Schofield,L. Burdette,6%,56%,Groundout: 2B-1B
t9,0-0,1,---,,,PIT,B. Virdon,L. Burdette,-6%,50%,Single to CF
t9,0-0,1,1--,,O,PIT,S. Burgess,L. Burdette,7%,57%,Flyball: CF
t9,0-0,2,1--,,,PIT,R. Nelson,L. Burdette,-7%,50%,Single to RF; Virdon to 3B
t9,0-0,2,1-3,,O,PIT,B. Skinner,L. Burdette,13%,63%,Groundout: P-1B
