Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
t6,5-3,2,--3,4(1-2) BCFX,O,STL,L. Walker,R. Oswalt,3%,26%,Groundout: 2B-1B
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Cardinals 5 Astros 3.,0 runs 1 hit 0 errors 1 LOB. Cardinals 5 Astros 3.,0 runs 1 hit 0 errors 1 LOB. Cardinals 5 Astros 3.
Bottom of the 6th Astros Batting Behind 3-5 Cardinals' Kiko Calero facing 4-5-6,Bottom of the 6th Astros Batting Behind 3-5 Cardinals' Kiko Calero facing 4-5-6,Bottom of the 6th Astros Batting Behind 3-5 Cardinals' Kiko Calero facing 4-5-6,Bottom of the 6th Astros Batting Behind 3-5 Cardinals' Kiko Calero facing 4-5-6,Bottom of the 6th Astros Batting Behind 3-5 Cardinals' Kiko Calero facing 4-5-6,Bottom of the 6th Astros Batting Behind 3-5 Cardinals' Kiko Calero facing 4-5-6,Bottom of the 6th Astros Batting Behind 3-5 Cardinals' Kiko Calero facing 4-5-6,Bottom of the 6th Astros Batting Behind 3-5 Cardinals' Kiko Calero facing 4-5-6,Bottom of the 6th Astros Batting Behind 3-5 Cardinals' Kiko Calero facing 4-5-6,Bottom of the 6th Astros Batting Behind 3-5 Cardinals' Kiko Calero facing 4-5-6,Bottom of the 6th Astros Batting Behind 3-5 Cardinals' Kiko Calero facing 4-5-6,Bottom of the 6th Astros Batting Behind 3-5 Cardinals' Kiko Calero facing 4-5-6
b6,3-5,0,---,5(3-1) BBSBX,R,HOU,L. Berkman,K. Calero,14%,40%,Home Run (Fly Ball)
b6,4-5,0,---,3(0-2) CFS,O,HOU,J. Kent,K. Calero,-4%,36%,Strikeout Swinging
b6,4-5,1,---,4(1-2) FFBX,O,HOU,M. Ensberg,K. Calero,-3%,33%,Flyball: LF
b6,4-5,2,---,1(0-0) X,,HOU,J. Vizcaino,K. Calero,4%,37%,Double to LF (Line Drive)
b6,4-5,2,-2-,2(1-0) BX,R,HOU,R. Chavez,K. Calero,17%,54%,Single to CF (Line Drive); Vizcaino Scores
,,,,,,,,,Ray King replaces Kiko Calero pitching and batting 7thOrlando Palmeiro pinch hits for Roy Oswalt (P) batting 9th,Ray King replaces Kiko Calero pitching and batting 7thOrlando Palmeiro pinch hits for Roy Oswalt (P) batting 9th,Ray King replaces Kiko Calero pitching and batting 7thOrlando Palmeiro pinch hits for Roy Oswalt (P) batting 9th
b6,5-5,2,1--,4(1-2) ..BCFX,O,HOU,O. Palmeiro,R. King,-4%,50%,Flyball: LF
,,,,,,,,,2 runs 3 hits 0 errors 1 LOB. Cardinals 5 Astros 5.,2 runs 3 hits 0 errors 1 LOB. Cardinals 5 Astros 5.,2 runs 3 hits 0 errors 1 LOB. Cardinals 5 Astros 5.
Top of the 7th Cardinals Batting Tied 5-5 Astros' Dan Wheeler facing 3-4-5,Top of the 7th Cardinals Batting Tied 5-5 Astros' Dan Wheeler facing 3-4-5,Top of the 7th Cardinals Batting Tied 5-5 Astros' Dan Wheeler facing 3-4-5,Top of the 7th Cardinals Batting Tied 5-5 Astros' Dan Wheeler facing 3-4-5,Top of the 7th Cardinals Batting Tied 5-5 Astros' Dan Wheeler facing 3-4-5,Top of the 7th Cardinals Batting Tied 5-5 Astros' Dan Wheeler facing 3-4-5,Top of the 7th Cardinals Batting Tied 5-5 Astros' Dan Wheeler facing 3-4-5,Top of the 7th Cardinals Batting Tied 5-5 Astros' Dan Wheeler facing 3-4-5,Top of the 7th Cardinals Batting Tied 5-5 Astros' Dan Wheeler facing 3-4-5,Top of the 7th Cardinals Batting Tied 5-5 Astros' Dan Wheeler facing 3-4-5,Top of the 7th Cardinals Batting Tied 5-5 Astros' Dan Wheeler facing 3-4-5,Top of the 7th Cardinals Batting Tied 5-5 Astros' Dan Wheeler facing 3-4-5
,,,,,,,,,Dan Wheeler replaces Orlando Palmeiro (PH) pitching and batting 9th,Dan Wheeler replaces Orlando Palmeiro (PH) pitching and batting 9th,Dan Wheeler replaces Orlando Palmeiro (PH) pitching and batting 9th
t7,5-5,0,---,3(1-1) .BCX,,STL,A. Pujols,D. Wheeler,-6%,44%,Single to LF (Line Drive)
t7,5-5,0,1--,1(0-0) B,,STL,S. Rolen,D. Wheeler,-5%,39%,Passed Ball; Pujols to 2B
t7,5-5,0,-2-,6(3-2) B.BFBSS,O,STL,S. Rolen,D. Wheeler,7%,47%,Strikeout Swinging
t7,5-5,1,-2-,1(0-0) X,O,STL,J. Edmonds,D. Wheeler,6%,53%,Lineout: CF
t7,5-5,2,-2-,4(1-2) CSBX,O,STL,E. Renteria,D. Wheeler,6%,59%,Groundout: 2B-1B
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Cardinals 5 Astros 5.,0 runs 1 hit 0 errors 1 LOB. Cardinals 5 Astros 5.,0 runs 1 hit 0 errors 1 LOB. Cardinals 5 Astros 5.
Bottom of the 7th Astros Batting Tied 5-5 Cardinals' Julian Tavarez facing 1-2-3,Bottom of the 7th Astros Batting Tied 5-5 Cardinals' Julian Tavarez facing 1-2-3,Bottom of the 7th Astros Batting Tied 5-5 Cardinals' Julian Tavarez facing 1-2-3,Bottom of the 7th Astros Batting Tied 5-5 Cardinals' Julian Tavarez facing 1-2-3,Bottom of the 7th Astros Batting Tied 5-5 Cardinals' Julian Tavarez facing 1-2-3,Bottom of the 7th Astros Batting Tied 5-5 Cardinals' Julian Tavarez facing 1-2-3,Bottom of the 7th Astros Batting Tied 5-5 Cardinals' Julian Tavarez facing 1-2-3,Bottom of the 7th Astros Batting Tied 5-5 Cardinals' Julian Tavarez facing 1-2-3,Bottom of the 7th Astros Batting Tied 5-5 Cardinals' Julian Tavarez facing 1-2-3,Bottom of the 7th Astros Batting Tied 5-5 Cardinals' Julian Tavarez facing 1-2-3,Bottom of the 7th Astros Batting Tied 5-5 Cardinals' Julian Tavarez facing 1-2-3,Bottom of the 7th Astros Batting Tied 5-5 Cardinals' Julian Tavarez facing 1-2-3
,,,,,,,,,Julian Tavarez replaces Edgar Renteria (SS) pitching and batting 6thHector Luna replaces Ray King (P) playing SS batting 7th,Julian Tavarez replaces Edgar Renteria (SS) pitching and batting 6thHector Luna replaces Ray King (P) playing SS batting 7th,Julian Tavarez replaces Edgar Renteria (SS) pitching and batting 6thHector Luna replaces Ray King (P) playing SS batting 7th
b7,5-5,0,---,3(1-1) ..CBX,O,HOU,C. Biggio,J. Tavarez,-4%,55%,Flyball: RF
