Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Twins 1 Yankees 0.,0 runs 0 hits 0 errors 0 LOB. Twins 1 Yankees 0.,0 runs 0 hits 0 errors 0 LOB. Twins 1 Yankees 0.
Top of the 6th Twins Batting Ahead 1-0 Yankees' Mike Mussina facing 1-2-3,Top of the 6th Twins Batting Ahead 1-0 Yankees' Mike Mussina facing 1-2-3,Top of the 6th Twins Batting Ahead 1-0 Yankees' Mike Mussina facing 1-2-3,Top of the 6th Twins Batting Ahead 1-0 Yankees' Mike Mussina facing 1-2-3,Top of the 6th Twins Batting Ahead 1-0 Yankees' Mike Mussina facing 1-2-3,Top of the 6th Twins Batting Ahead 1-0 Yankees' Mike Mussina facing 1-2-3,Top of the 6th Twins Batting Ahead 1-0 Yankees' Mike Mussina facing 1-2-3,Top of the 6th Twins Batting Ahead 1-0 Yankees' Mike Mussina facing 1-2-3,Top of the 6th Twins Batting Ahead 1-0 Yankees' Mike Mussina facing 1-2-3,Top of the 6th Twins Batting Ahead 1-0 Yankees' Mike Mussina facing 1-2-3,Top of the 6th Twins Batting Ahead 1-0 Yankees' Mike Mussina facing 1-2-3,Top of the 6th Twins Batting Ahead 1-0 Yankees' Mike Mussina facing 1-2-3
t6,1-0,0,---,5(1-2) CBFFS,O,MIN,S. Stewart,M. Mussina,-3%,63%,Strikeout Swinging
t6,1-0,1,---,2(0-1) SX,R,MIN,J. Jones,M. Mussina,13%,75%,Home Run (Fly Ball)
t6,2-0,1,---,3(2-0) BBX,,MIN,T. Hunter,M. Mussina,2%,77%,Single to LF (Ground Ball)
t6,2-0,1,1--,5(2-2) BC1FBS,O,MIN,J. Morneau,M. Mussina,-2%,75%,Strikeout Swinging
t6,2-0,2,1--,3(1-1) BS>B,,MIN,C. Koskie,M. Mussina,1%,76%,Hunter Steals 2B
t6,2-0,2,-2-,5(3-1) BS>B.BB,,MIN,C. Koskie,M. Mussina,1%,76%,Walk
t6,2-0,2,12-,4(2-1) F*BBX,O,MIN,L. Ford,M. Mussina,-4%,73%,Groundout: 3B-1B
,,,,,,,,,1 run 2 hits 0 errors 2 LOB. Twins 2 Yankees 0.,1 run 2 hits 0 errors 2 LOB. Twins 2 Yankees 0.,1 run 2 hits 0 errors 2 LOB. Twins 2 Yankees 0.
