Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
b6,0-2,2,1--,6(2-2) SC*BFBX,,ATL,A. LaRoche,R. Oswalt,4%,26%,Single to LF (Fly Ball); Estrada to 3B
b6,0-2,2,1-3,2(1-0) BX,O,ATL,A. Jones,R. Oswalt,-8%,19%,Flyball: CF
,,,,,,,,,0 runs 1 hit 0 errors 2 LOB. Astros 2 Braves 0.,0 runs 1 hit 0 errors 2 LOB. Astros 2 Braves 0.,0 runs 1 hit 0 errors 2 LOB. Astros 2 Braves 0.
Top of the 7th Astros Batting Ahead 2-0 Braves' Mike Hampton facing 6-7-8,Top of the 7th Astros Batting Ahead 2-0 Braves' Mike Hampton facing 6-7-8,Top of the 7th Astros Batting Ahead 2-0 Braves' Mike Hampton facing 6-7-8,Top of the 7th Astros Batting Ahead 2-0 Braves' Mike Hampton facing 6-7-8,Top of the 7th Astros Batting Ahead 2-0 Braves' Mike Hampton facing 6-7-8,Top of the 7th Astros Batting Ahead 2-0 Braves' Mike Hampton facing 6-7-8,Top of the 7th Astros Batting Ahead 2-0 Braves' Mike Hampton facing 6-7-8,Top of the 7th Astros Batting Ahead 2-0 Braves' Mike Hampton facing 6-7-8,Top of the 7th Astros Batting Ahead 2-0 Braves' Mike Hampton facing 6-7-8,Top of the 7th Astros Batting Ahead 2-0 Braves' Mike Hampton facing 6-7-8,Top of the 7th Astros Batting Ahead 2-0 Braves' Mike Hampton facing 6-7-8,Top of the 7th Astros Batting Ahead 2-0 Braves' Mike Hampton facing 6-7-8
t7,2-0,0,---,1(0-0) X,O,HOU,M. Ensberg,M. Hampton,2%,20%,Groundout: SS-1B
,,,,,,,,,Kevin Gryboski replaces Mike Hampton pitching and batting 9th,Kevin Gryboski replaces Mike Hampton pitching and batting 9th,Kevin Gryboski replaces Mike Hampton pitching and batting 9th
t7,2-0,1,---,7(2-2) FCFBB.FX,O,HOU,J. Vizcaino,K. Gryboski,1%,22%,Groundout: 2B-1B
t7,2-0,2,---,3(1-1) CBX,O,HOU,R. Chavez,K. Gryboski,1%,22%,Popfly: 2B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Astros 2 Braves 0.,0 runs 0 hits 0 errors 0 LOB. Astros 2 Braves 0.,0 runs 0 hits 0 errors 0 LOB. Astros 2 Braves 0.
Bottom of the 7th Braves Batting Behind 0-2 Astros' Roy Oswalt facing 8-9-1,Bottom of the 7th Braves Batting Behind 0-2 Astros' Roy Oswalt facing 8-9-1,Bottom of the 7th Braves Batting Behind 0-2 Astros' Roy Oswalt facing 8-9-1,Bottom of the 7th Braves Batting Behind 0-2 Astros' Roy Oswalt facing 8-9-1,Bottom of the 7th Braves Batting Behind 0-2 Astros' Roy Oswalt facing 8-9-1,Bottom of the 7th Braves Batting Behind 0-2 Astros' Roy Oswalt facing 8-9-1,Bottom of the 7th Braves Batting Behind 0-2 Astros' Roy Oswalt facing 8-9-1,Bottom of the 7th Braves Batting Behind 0-2 Astros' Roy Oswalt facing 8-9-1,Bottom of the 7th Braves Batting Behind 0-2 Astros' Roy Oswalt facing 8-9-1,Bottom of the 7th Braves Batting Behind 0-2 Astros' Roy Oswalt facing 8-9-1,Bottom of the 7th Braves Batting Behind 0-2 Astros' Roy Oswalt facing 8-9-1,Bottom of the 7th Braves Batting Behind 0-2 Astros' Roy Oswalt facing 8-9-1
